text,type,topic,subtopic,longitude,longitude (old),latitude,latitude (old),relevance
General Expression,sub-subtopic,Solar Panel,Energy Risk indicators ,-99.91957,-169.91957,-69.05294,-19.05294,153039
Vfs,sub-subtopic,Solar Panel,Solar forecasting solutions ,-99.67851,-169.67851,-64.17117,-14.17117,775421
Parameter Definition,sub-subtopic,Solar Panel,Renewable energy transition ,-99.51444,-169.51444,-64.23361,-14.23361,846169
Minimax Parameter,sub-subtopic,Solar Panel,Solar performance assessment,-99.51278,-169.51278,-64.2222,-14.2222,261091
Contribution,sub-subtopic,Solar Panel,Sustainability analysis ,-96.5422,-166.5422,3.8898,53.8898,426319
Main Objective,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-96.53408,-166.53408,3.87413,53.87413,280535
Alexandre-Edmund Becquerel,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,-96.09667,-166.09667,11.53111,61.53111,564054
Factors Affect,sub-subtopic,Solar Panel,Solar energy efficiency ,-95.77515,-165.77515,4.1343,54.1343,415812
Solar Cells,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-95.58639,-165.58639,11.52778,61.52778,604690
Main Solar,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-95.40639,-165.40639,14.50111,64.50111,682534
Positive Parameters,sub-subtopic,Solar Panel,Solar energy efficiency ,-92.59809,-162.59809,16.89846,66.89846,940881
Highest Power,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-92.31853,-162.31853,5.06087,55.06087,949747
Maximum Power,sub-subtopic,Solar Panel,Solar forecasting accuracy,-91.75583,-161.75583,10.79222,60.79222,259703
Basic Concept,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-90.50071,-160.50071,5.33597,55.33597,206578
Thermal Collectors,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-89.77545,-159.77545,-71.2075,-21.2075,168686
Total Efficiency,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-89.71186,-159.71186,-28.03314,21.96686,341551
Electrical Efficiency,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-89.66893,-159.66893,-28.04293,21.95707,396574
Potential Impacts,sub-subtopic,Solar Panel,Sustainable technologies ,-89.5944,-159.5944,-28.09267,21.90733,343351
Main Drawbacks,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-89.58995,-159.58995,-28.08367,21.91633,792561
Ghg Emissions,sub-subtopic,Solar Panel,Energy efficiency meaasures,-89.58322,-159.58322,-28.09262,21.90738,639768
Technology Start,sub-subtopic,Solar Panel,Solar technology adoption ,-89.52686,-159.52686,-28.07584,21.92416,920189
Peak Kilowatts,sub-subtopic,Solar Panel,Sun-Synchronous Orbits,-89.50376,-159.50376,-28.07841,21.92159,806035
Components Make,sub-subtopic,Solar Panel,Renewable energy Integration,-89.48818,-159.48818,-28.07419,21.92581,911852
On-Grid System,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,-89.47888,-159.47888,-27.78242,22.21758,413413
Pvt Technology,sub-subtopic,Solar Panel,Solar technology adoption ,-89.46994,-159.46994,-28.0931,21.9069,175320
Snow Loads,sub-subtopic,Solar Panel,Solar panel perception,-89.41342,-159.41342,-27.78792,22.21208,361814
Solar Radiation,sub-subtopic,Solar Panel,Thermal efficiency,-89.40012,-159.40012,-28.03112,21.96888,249087
Nearby Walls,sub-subtopic,Solar Panel,Thermal efficiency,-89.38832,-159.38832,-46.09194,3.90806,531786
Land Area,sub-subtopic,Solar Panel,Renewable energy integration,-89.37677,-159.37677,-27.92756,22.07244,792669
Average Daily,sub-subtopic,Solar Panel,Renewable energy integration,-89.3721,-159.3721,-28.01879,21.98121,370029
Critical Aspects,sub-subtopic,Solar Panel,Renewable Solutions Integration,-89.35918,-159.35918,-28.00227,21.99773,461203
Sunny Days,sub-subtopic,Solar Panel,Renewable energy integration,-89.33781,-159.33781,-27.94729,22.05271,622685
Main Provider,sub-subtopic,Solar Panel,Renewable Solutions Integration,-89.31895,-159.31895,-27.92479,22.07521,262189
Average Solar,sub-subtopic,Solar Panel,Renewable energy integration,-89.31388,-159.31388,-27.85774,22.14226,830459
Plan Frameworks,sub-subtopic,Solar Panel,Renewable Solutions Integration,-88.4575,-158.4575,9.03972,59.03972,662483
Support Policies,sub-subtopic,Solar Panel,Renewable Solutions Integration,-88.21037,-158.21037,-28.53373,21.46627,49681
Main Reason,sub-subtopic,Solar Panel,Solar technology adoption ,-88.19918,-158.19918,-28.52417,21.47583,592350
Grid-Connected Solar,sub-subtopic,Solar Panel,Renewable energy transition ,-88.18555,-158.18555,-28.56215,21.43785,635430
Paragraph Focus,sub-subtopic,Solar Panel,Solar energy impact,-88.17531,-158.17531,-28.58371,21.41629,323523
M-Si,sub-subtopic,Solar Panel,Solar energy impact,-88.15429,-158.15429,-28.60638,21.39362,85702
Research Project,sub-subtopic,Solar Panel,Solar systems economics ,-88.15313,-158.15313,-28.42033,21.57967,435876
Flat Plate,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-88.13154,-158.13154,-28.42312,21.57688,814983
Expected Lifetime,sub-subtopic,Solar Panel,Solar systems economics ,-88.12562,-158.12562,-28.66007,21.33993,172242
Silicon Crystalline,sub-subtopic,Solar Panel,Solar Materials ,-88.10339,-158.10339,-28.40716,21.59284,771480
Subscribers Allocated,sub-subtopic,Solar Panel,Renewable energy insights,-88.08655,-158.08655,-28.64763,21.35237,596179
Achieve Optimum,sub-subtopic,Solar Panel,Solar performance assessment,-88.08583,-158.08583,-28.65306,21.34694,957607
Current Project,sub-subtopic,Solar Panel,Solar systems economics ,-88.06515,-158.06515,-28.50163,21.49837,423184
Studied,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,-88.06065,-158.06065,-28.34544,21.65456,704689
Irradiance Abundance,sub-subtopic,Solar Panel,Renewable energy integration,-88.0582,-158.0582,-28.66445,21.33555,210843
Potential Benefits,sub-subtopic,Solar Panel,Energy efficiency meaasures,-88.0397,-158.0397,-28.65873,21.34127,509507
Swot Matrix,sub-subtopic,Solar Panel,Solar technology adoption ,-88.03638,-158.03638,-28.68934,21.31066,781997
Macro Climatic,sub-subtopic,Solar Panel,Energy efficiency meaasures,-88.03039,-158.03039,-28.66001,21.33999,900503
Investment Profitability,sub-subtopic,Solar Panel,Solar performance assessment,-88.03028,-158.03028,-28.60194,21.39806,530020
Implementation Cost,sub-subtopic,Solar Panel,Energy Risk indicators ,-88.0267,-158.0267,-28.60608,21.39392,700948
Implementation Cost,sub-subtopic,Solar Panel,Graphene Silk Panels,-88.02464,-158.02464,-28.49721,21.50279,770980
Solar System,sub-subtopic,Solar Panel,Energy efficiency meaasures,-88.02464,-158.02464,-28.48571,21.51429,633381
Average Capital,sub-subtopic,Solar Panel,Solar systems economics ,-88.01503,-158.01503,-28.5496,21.4504,379084
Climatical Shading,sub-subtopic,Solar Panel,Energy efficiency meaasures,-88.01331,-158.01331,-28.53515,21.46485,696893
Average Cost,sub-subtopic,Solar Panel,Sustainability analysis ,-88.00917,-158.00917,-28.61333,21.38667,54738
Non-Oecd Countries,sub-subtopic,Solar Panel,Renewable Solutions Integration,-88.00722,-158.00722,-28.68444,21.31556,51447
Exchange Rate,sub-subtopic,Solar Panel,Solar Materials ,-87.99906,-157.99906,-28.58177,21.41823,267989
Installation Activities,sub-subtopic,Solar Panel,Sustainable technologies ,-87.98301,-157.98301,-28.67224,21.32776,514881
Ice Database,sub-subtopic,Solar Panel,Solar urban sustainability ,-87.97516,-157.97516,-28.60266,21.39734,48199
Balance Calculated,sub-subtopic,Solar Panel,Solar systems economics ,-87.96018,-157.96018,-28.66033,21.33967,385033
Eea Air,sub-subtopic,Solar Panel,Sustainable technologies ,-87.95237,-157.95237,-28.31952,21.68048,88924
Reduction Indicator,sub-subtopic,Solar Panel,Renewable energy integration,-87.94333,-157.94333,-28.59528,21.40472,276561
Ori Derived,sub-subtopic,Solar Panel,Energy Risk indicators ,-87.93361,-157.93361,-28.61778,21.38222,249874
Severity,sub-subtopic,Solar Panel,Energy Risk indicators ,-87.9225,-157.9225,-28.35453,21.64547,990088
Measured,sub-subtopic,Solar Panel,Energy Risk indicators ,-87.92167,-157.92167,-28.62056,21.37944,751538
Wet Conditions,sub-subtopic,Solar Panel,Solar Energy Optimization,-87.91388,-157.91388,-28.62152,21.37848,849256
Construction Sites,sub-subtopic,Solar Panel,Energy Risk indicators ,-87.90868,-157.90868,-28.3924,21.6076,866257
Compatibility,sub-subtopic,Solar Panel,Solar energy impact,-87.87861,-157.87861,-28.42611,21.57389,539623
Change,sub-subtopic,Solar Panel,Energy efficiency meaasures,-87.87557,-157.87557,-28.42955,21.57045,92659
Iranian,sub-subtopic,Solar Panel,Solar Materials ,-87.85833,-157.85833,-28.69306,21.30694,540226
Parameters,sub-subtopic,Solar Panel,Sustainable technologies ,-87.85103,-157.85103,-28.44555,21.55445,808089
Functions,sub-subtopic,Solar Panel,Solar forecasting solutions ,-87.84431,-157.84431,-28.54241,21.45759,5574
Graph Depict,sub-subtopic,Solar Panel,Solar performance assessment,-87.83778,-157.83778,-28.55528,21.44472,832256
Apv,sub-subtopic,Solar Panel,Solar energy efficiency ,-87.79895,-157.79895,-28.60006,21.39994,586951
Important Ghg,sub-subtopic,Solar Panel,Sustainability analysis ,-87.77056,-157.77056,-28.62722,21.37278,433462
Reduction Potential,sub-subtopic,Solar Panel,Renewable energy integration,-87.74981,-157.74981,-28.55664,21.44336,297674
Indicators Assessed,sub-subtopic,Solar Panel,Sustainability analysis ,-87.74054,-157.74054,-28.59759,21.40241,915127
Economic Benefits,sub-subtopic,Solar Panel,Energy efficiency meaasures,-87.7238,-157.7238,-28.65386,21.34614,20189
Approaches,sub-subtopic,Solar Panel,Solar urban sustainability ,-87.71734,-157.71734,-28.71094,21.28906,227528
Current Study,sub-subtopic,Solar Panel,Solar energy impact,-87.70003,-157.70003,-28.66593,21.33407,531086
Expected Benefit,sub-subtopic,Solar Panel,Renewable Solutions Integration,-87.48773,-157.48773,-47.98357,2.01643,560658
Private Solar,sub-subtopic,Solar Panel,Solar systems economics ,-87.47502,-157.47502,-48.01513,1.98487,972270
Organic Solar,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-87.36526,-157.36526,-48.01671,1.98329,52156
Solar Cell,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-87.03677,-157.03677,-28.84694,21.15306,872597
Model Designed,sub-subtopic,Solar Panel,Sustainability analysis ,-87.02613,-157.02613,-28.90637,21.09363,470172
Environmentally Friendly,sub-subtopic,Solar Panel,Energy efficiency meaasures,-86.92399,-156.92399,-29.17243,20.82757,981808
Apv,sub-subtopic,Solar Panel,Renewable Solutions Integration,-86.76139,-156.76139,-28.89972,21.10028,878305
Crystalline Silicon,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-86.69422,-156.69422,-29.07119,20.92881,216871
Multidisciplinary Experts,sub-subtopic,Solar Panel,Solar technology adoption ,-86.68778,-156.68778,-29.0691,20.9309,726590
Types Generally,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,-86.67826,-156.67826,-29.02467,20.97533,821068
Common,sub-subtopic,Solar Panel,Solar energy impact,-86.67663,-156.67663,-29.12571,20.87429,808572
Thinner Films,sub-subtopic,Solar Panel,Graphene Silk Panels,-86.50694,-156.50694,-29.14194,20.85806,802851
C-Si Cells,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-86.50604,-156.50604,-29.10867,20.89133,716326
Third-Generation,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-86.50458,-156.50458,-29.06978,20.93022,371741
Millennium Technology,sub-subtopic,Solar Panel,Solar technology adoption ,-86.47432,-156.47432,-29.11047,20.88953,254487
Organic Solar,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-86.44578,-156.44578,-29.23538,20.76462,768892
Outdoor Usage,sub-subtopic,Solar Panel,Graphene Silk Panels,-86.4419,-156.4419,-29.31027,20.68973,496241
Main Challenges,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-86.36944,-156.36944,-29.09667,20.90333,409202
Conventional Flat,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-86.35446,-156.35446,-29.29289,20.70711,274213
Systems,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-86.33667,-156.33667,-29.16333,20.83667,322368
Unglazed,sub-subtopic,Solar Panel,Energy efficiency meaasures,-86.32695,-156.32695,-29.20906,20.79094,319980
Current Studies,sub-subtopic,Solar Panel,Solar energy impact,-86.31306,-156.31306,-29.14306,20.85694,568537
Ice Database,sub-subtopic,Solar Panel,Solar urban sustainability ,-86.13639,-156.13639,-29.15139,20.84861,869177
Tehran Annual,sub-subtopic,Solar Panel,Sustainability analysis ,-85.99028,-155.99028,-29.24194,20.75806,957045
Nomenclature,sub-subtopic,Solar Panel,Solar performance assessment,-85.98167,-155.98167,-30.27139,19.72861,533403
Air Pollution,sub-subtopic,Solar Panel,Solar energy efficiency ,-85.96172,-155.96172,-30.42819,19.57181,558358
Particulate Matter,sub-subtopic,Solar Panel,Sustainable technologies ,-85.94831,-155.94831,-30.38021,19.61979,632069
International Renewable,sub-subtopic,Solar Panel,Solar urban sustainability ,-85.93194,-155.93194,-30.45361,19.54639,793187
Solar Energy,sub-subtopic,Solar Panel,Renewable energy transition ,-85.9225,-155.9225,-30.47917,19.52083,929553
United Nations,sub-subtopic,Solar Panel,Solar urban sustainability ,-85.92167,-155.92167,-30.50306,19.49694,40450
Solar Heating,sub-subtopic,Solar Panel,Solar technology adoption ,-85.86466,-155.86466,-30.54373,19.45627,531618
Main Focus,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-85.83351,-155.83351,-29.75878,20.24122,836591
Power Plants,sub-subtopic,Solar Panel,Solar urban sustainability ,-85.80194,-155.80194,-29.76611,20.23389,569572
Main Findings,sub-subtopic,Solar Panel,Energy assessments,-85.78931,-155.78931,-30.06058,19.93942,664332
Research Article,sub-subtopic,Solar Panel,Energy assessments,-85.765,-155.765,-30.93139,19.06861,998533
Decision-Support System,sub-subtopic,Solar Panel,Energy assessments,-85.67288,-155.67288,-29.97677,20.02323,459113
Energy Buildings,sub-subtopic,Solar Panel,Renewable energy transition ,-85.4786,-155.4786,-30.79703,19.20297,847941
Ihs Market,sub-subtopic,Solar Panel,Sustainable technologies ,-85.46691,-155.46691,-29.92069,20.07931,238557
Energy Propaedia,sub-subtopic,Solar Panel,Energy assessments,-85.23398,-155.23398,-30.55724,19.44276,693124
Main Focus,sub-subtopic,Solar Panel,Energy assessments,-85.10806,-155.10806,-30.44417,19.55583,378103
Multi-Criteria Decision-Making,sub-subtopic,Solar Panel,Solar energy dynamics ,-85.10722,-155.10722,-30.16639,19.83361,987864
Life Cycle,sub-subtopic,Solar Panel,Energy assessments,-85.095,-155.095,-30.25528,19.74472,777239
Swot Analysis,sub-subtopic,Solar Panel,Sustainability analysis ,-85.09326,-155.09326,-30.21282,19.78718,973156
Multi-Criteria Decision-Making,sub-subtopic,Solar Panel,Solar technology adoption ,-85.09073,-155.09073,-30.27009,19.72991,950749
Solar Panels,sub-subtopic,Solar Panel,Renewable Solutions Integration,-85.08028,-155.08028,-30.48778,19.51222,657941
Technologies Form,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-85.05722,-155.05722,-30.39639,19.60361,145122
Solar Photovoltaic,sub-subtopic,Solar Panel,Energy efficiency meaasures,-85.05222,-155.05222,-30.46194,19.53806,546352
Lunar Probit,sub-subtopic,Solar Panel,Solar urban sustainability ,-85.03744,-155.03744,-30.37735,19.62265,41298
Iran,sub-subtopic,Solar Panel,Renewable Solutions Integration,-85.01527,-155.01527,-30.43916,19.56084,830153
Topics Discussed,sub-subtopic,Solar Panel,Solar urban sustainability ,-84.99306,-154.99306,-30.47306,19.52694,24252
Plantar Article,sub-subtopic,Solar Panel,Energy assessments,-84.97306,-154.97306,-30.40667,19.59333,925896
Distribution System,sub-subtopic,Solar Panel,Solar technology adoption ,-84.91778,-154.91778,-30.53028,19.46972,887236
Building Integrated,sub-subtopic,Solar Panel,Sustainable technologies ,-84.91583,-154.91583,-30.45694,19.54306,268227
Cycle Assessment,sub-subtopic,Solar Panel,Energy assessments,-84.91194,-154.91194,-30.49389,19.50611,737706
Solar Energy,sub-subtopic,Solar Panel,Solar systems economics ,-82.60004,-152.60004,7.76587,57.76587,822189
Energy Source,sub-subtopic,Solar Panel,Energy efficiency meaasures,-82.40533,-152.40533,7.78852,57.78852,242017
Renewable Energy,sub-subtopic,Solar Panel,Renewable energy transition ,-81.83139,-151.83139,9.77667,59.77667,363270
World Fossil,sub-subtopic,Solar Panel,Renewable Solutions Integration,-81.74913,-151.74913,-66.50741,-16.50741,704688
Solar Energy-Based,sub-subtopic,Solar Panel,Solar technology adoption ,-81.74102,-151.74102,-66.48679,-16.48679,350042
Swh System,sub-subtopic,Solar Panel,Thermal efficiency,-81.72135,-151.72135,-66.50148,-16.50148,167191
Thermal Characteristics,sub-subtopic,Solar Panel,Solar Materials ,-81.5575,-151.5575,9.67611,59.67611,924646
Desalination Processes,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-81.5494,-151.5494,9.6425,59.6425,902401
Swh Systems,sub-subtopic,Solar Panel,Renewable Solutions Integration,-81.48893,-151.48893,-66.79139,-16.79139,7117
Swh Systems,sub-subtopic,Solar Panel,Solar systems economics ,-81.44482,-151.44482,-66.72891,-16.72891,846677
Fossil Fuel,sub-subtopic,Solar Panel,Solar systems economics ,-81.34191,-151.34191,-72.45133,-22.45133,891933
Energy Catchment,sub-subtopic,Solar Panel,Solar systems economics ,-81.30639,-151.30639,10.36861,60.36861,538736
Solar-Collector,sub-subtopic,Solar Panel,Solar performance assessment,-81.29528,-151.29528,9.73611,59.73611,973709
Thermal Performance,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-81.29,-151.29,10.41833,60.41833,539702
Absorber Plate,sub-subtopic,Solar Panel,Renewable energy Integration,-81.28889,-151.28889,10.69028,60.69028,538800
Glass Cover,sub-subtopic,Solar Panel,Solar Materials ,-81.25833,-151.25833,10.55444,60.55444,435518
Fpc,sub-subtopic,Solar Panel,Solar Materials ,-81.08528,-151.08528,10.53194,60.53194,90237
Recently Focused,sub-subtopic,Solar Panel,Graphene Silk Panels,-81.05833,-151.05833,10.48778,60.48778,457044
Classic Fpc,sub-subtopic,Solar Panel,Solar Materials ,-81.03455,-151.03455,-66.71085,-16.71085,777531
Classic Fpc,sub-subtopic,Solar Panel,Renewable energy Integration,-81.0327,-151.0327,-66.73535,-16.73535,981777
Instantaneous Gas,sub-subtopic,Solar Panel,Solar systems economics ,-80.76472,-150.76472,10.53722,60.53722,929384
Components Make,sub-subtopic,Solar Panel,Renewable energy Integration,-80.0375,-150.0375,11.74722,61.74722,362547
Designs Introduced,sub-subtopic,Solar Panel,Graphene Silk Panels,-79.95444,-149.95444,11.52139,61.52139,332098
Desalting Saline,sub-subtopic,Solar Panel,Energy efficiency meaasures,-79.90028,-149.90028,11.21806,61.21806,155202
Shape,sub-subtopic,Solar Panel,Thermal efficiency,-79.87437,-149.87437,-67.49538,-17.49538,102448
Thermal Conductivity,sub-subtopic,Solar Panel,Solar Materials ,-79.86905,-149.86905,-67.56352,-17.56352,71728
Maximum Working,sub-subtopic,Solar Panel,Solar energy efficiency ,-79.85075,-149.85075,12.16129,62.16129,714429
Cpc,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-79.82193,-149.82193,-67.51863,-17.51863,421520
Improve Pcs,sub-subtopic,Solar Panel,Graphene Silk Panels,-79.81806,-149.81806,11.63028,61.63028,831688
Non-Optical Concentrators,sub-subtopic,Solar Panel,Sustainability analysis ,-79.78333,-149.78333,-67.55,-17.55,602375
Highest Temperature,sub-subtopic,Solar Panel,Solar energy efficiency ,-79.76667,-149.76667,-67.5,-17.5,748690
Heat Storage,sub-subtopic,Solar Panel,Solar systems economics ,-79.63139,-149.63139,11.25703,61.25703,768722
State Heat,sub-subtopic,Solar Panel,Thermal efficiency,-79.60352,-149.60352,-67.55933,-17.55933,559217
Heat Storage,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-79.60111,-149.60111,11.62472,61.62472,914198
Storage Tanks,sub-subtopic,Solar Panel,Renewable energy Integration,-79.60012,-149.60012,11.51262,61.51262,888191
Swh System,sub-subtopic,Solar Panel,Solar systems economics ,-79.6,-149.6,-67.63333,-17.63333,695743
Thermal Distribution,sub-subtopic,Solar Panel,Thermal efficiency,-79.58333,-149.58333,-67.68333,-17.68333,289091
Highest Temperatures,sub-subtopic,Solar Panel,Solar panel perception,-79.56843,-149.56843,-67.5347,-17.5347,767171
Absorber Plate,sub-subtopic,Solar Panel,Renewable energy Integration,-79.56778,-149.56778,11.32139,61.32139,979465
Assisted Concentrator,sub-subtopic,Solar Panel,Solar Materials ,-79.55119,-149.55119,-67.52985,-17.52985,873598
Thermal Collector,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-79.55,-149.55,-67.75,-17.75,294816
Maximum Outlet,sub-subtopic,Solar Panel,Thermal efficiency,-79.53437,-149.53437,-67.52764,-17.52764,657943
Heat Exchanger,sub-subtopic,Solar Panel,Solar Materials ,-79.48899,-149.48899,-67.50648,-17.50648,697029
