text,type,topic,subtopic,longitude,latitude,relevance
matured technologies,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-171.81397,-13.84432,647951
energy simultaneously,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-171.79333,-13.82678,18555
heat energy,sub-subtopic,Solar Panel,Energy efficiency meaasures,-171.76666,-13.83333,412501
main innovation,sub-subtopic,Solar Panel,Energy assessments,-171.76126,-13.86417,388502
problem solution,sub-subtopic,Solar Panel,Solar Energy Optimization,-171.70387,65.50306,890284
make decisions,sub-subtopic,Solar Panel,Solar panel perception,-171.64768,-14.03208,295712
present article,sub-subtopic,Solar Panel,Energy assessments,-171.64181,-13.87504,746156
air pollution,sub-subtopic,Solar Panel,Renewable Solutions Integration,-171.59857,-13.87449,514359
framework,sub-subtopic,Solar Panel,Energy assessments,-171.58805,-13.88695,973778
studies analysed,sub-subtopic,Solar Panel,Solar energy impact,-171.53122,-13.93375,422078
major phases,sub-subtopic,Solar Panel,Solar energy dynamics ,-171.24675,-9.38516,520831
expected findings,sub-subtopic,Solar Panel,Renewable energy Integration,-171.08833,-11.05528,914005
sustainability assessment,sub-subtopic,Solar Panel,Energy assessments,-171.02082,65.58604,95879
SWOT method,sub-subtopic,Solar Panel,Sustainability analysis ,-170.785,-14.34389,801615
multi-attribute utility,sub-subtopic,Solar Panel,Solar energy dynamics ,-170.7808,-14.3534,841034
key advantage,sub-subtopic,Solar Panel,Renewable Solutions Integration,-170.75278,-14.33056,584944
apply comprehensive,sub-subtopic,Solar Panel,Energy assessments,-170.74444,-14.3325,908214
current study,sub-subtopic,Solar Panel,Sustainability analysis ,-170.73796,-14.35259,321861
decision tree,sub-subtopic,Solar Panel,Energy Risk indicators ,-170.73389,-14.32278,507166
alternative include,sub-subtopic,Solar Panel,Solar forecasting solutions ,-170.72,-14.33583,769195
relative importance,sub-subtopic,Solar Panel,Energy Risk indicators ,-170.7025,-14.27806,358253
principal panel,sub-subtopic,Solar Panel,Solar technology adoption ,-170.69,-14.2825,368470
Equation,sub-subtopic,Solar Panel,Energy Risk indicators ,-170.66389,-14.27611,252294
general expression,sub-subtopic,Solar Panel,Energy Risk indicators ,-169.91957,-19.05294,153039
VFS,sub-subtopic,Solar Panel,Solar forecasting solutions ,-169.67851,-14.17117,775421
parameter definition,sub-subtopic,Solar Panel,Renewable energy transition ,-169.51444,-14.23361,846169
Minimax parameter,sub-subtopic,Solar Panel,Solar performance assessment,-169.51278,-14.2222,261091
contribution,sub-subtopic,Solar Panel,Sustainability analysis ,-166.5422,53.8898,426319
main objective,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-166.53408,53.87413,280535
Alexandre-Edmund Becquerel,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,-166.09667,61.53111,564054
factors affect,sub-subtopic,Solar Panel,Solar energy efficiency ,-165.77515,54.1343,415812
solar cells,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-165.58639,61.52778,604690
main solar,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-165.40639,64.50111,682534
positive parameters,sub-subtopic,Solar Panel,Solar energy efficiency ,-162.59809,66.89846,940881
highest power,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-162.31853,55.06087,949747
maximum power,sub-subtopic,Solar Panel,Solar forecasting accuracy,-161.75583,60.79222,259703
basic concept,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-160.50071,55.33597,206578
thermal collectors,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-159.77545,-21.2075,168686
total efficiency,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-159.71186,21.96686,341551
electrical efficiency,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-159.66893,21.95707,396574
potential impacts,sub-subtopic,Solar Panel,Sustainable technologies ,-159.5944,21.90733,343351
main drawbacks,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-159.58995,21.91633,792561
GHG emissions,sub-subtopic,Solar Panel,Energy efficiency meaasures,-159.58322,21.90738,639768
technology start,sub-subtopic,Solar Panel,Solar technology adoption ,-159.52686,21.92416,920189
peak kilowatts,sub-subtopic,Solar Panel,Sun-Synchronous Orbits,-159.50376,21.92159,806035
components make,sub-subtopic,Solar Panel,Renewable energy Integration,-159.48818,21.92581,911852
on-grid system,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,-159.47888,22.21758,413413
PVT technology,sub-subtopic,Solar Panel,Solar technology adoption ,-159.46994,21.9069,175320
snow loads,sub-subtopic,Solar Panel,Solar panel perception,-159.41342,22.21208,361814
solar radiation,sub-subtopic,Solar Panel,Thermal efficiency,-159.40012,21.96888,249087
nearby walls,sub-subtopic,Solar Panel,Thermal efficiency,-159.38832,3.90806,531786
land area,sub-subtopic,Solar Panel,Renewable energy integration,-159.37677,22.07244,792669
average daily,sub-subtopic,Solar Panel,Renewable energy integration,-159.3721,21.98121,370029
critical aspects,sub-subtopic,Solar Panel,Renewable Solutions Integration,-159.35918,21.99773,461203
sunny days,sub-subtopic,Solar Panel,Renewable energy integration,-159.33781,22.05271,622685
main provider,sub-subtopic,Solar Panel,Renewable Solutions Integration,-159.31895,22.07521,262189
average solar,sub-subtopic,Solar Panel,Renewable energy integration,-159.31388,22.14226,830459
plan frameworks,sub-subtopic,Solar Panel,Renewable Solutions Integration,-158.4575,59.03972,662483
support policies,sub-subtopic,Solar Panel,Renewable Solutions Integration,-158.21037,21.46627,49681
main reason,sub-subtopic,Solar Panel,Solar technology adoption ,-158.19918,21.47583,592350
grid-connected solar,sub-subtopic,Solar Panel,Renewable energy transition ,-158.18555,21.43785,635430
paragraph focus,sub-subtopic,Solar Panel,Solar energy impact,-158.17531,21.41629,323523
m-Si,sub-subtopic,Solar Panel,Solar energy impact,-158.15429,21.39362,85702
research project,sub-subtopic,Solar Panel,Solar systems economics ,-158.15313,21.57967,435876
flat plate,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-158.13154,21.57688,814983
expected lifetime,sub-subtopic,Solar Panel,Solar systems economics ,-158.12562,21.33993,172242
Silicon crystalline,sub-subtopic,Solar Panel,Solar Materials ,-158.10339,21.59284,771480
subscribers allocated,sub-subtopic,Solar Panel,Renewable energy insights,-158.08655,21.35237,596179
achieve optimum,sub-subtopic,Solar Panel,Solar performance assessment,-158.08583,21.34694,957607
current project,sub-subtopic,Solar Panel,Solar systems economics ,-158.06515,21.49837,423184
studied,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,-158.06065,21.65456,704689
irradiance abundance,sub-subtopic,Solar Panel,Renewable energy integration,-158.0582,21.33555,210843
potential benefits,sub-subtopic,Solar Panel,Energy efficiency meaasures,-158.0397,21.34127,509507
SWOT matrix,sub-subtopic,Solar Panel,Solar technology adoption ,-158.03638,21.31066,781997
macro climatic,sub-subtopic,Solar Panel,Energy efficiency meaasures,-158.03039,21.33999,900503
investment profitability,sub-subtopic,Solar Panel,Solar performance assessment,-158.03028,21.39806,530020
Implementation cost,sub-subtopic,Solar Panel,Energy Risk indicators ,-158.0267,21.39392,700948
Implementation cost,sub-subtopic,Solar Panel,Graphene Silk Panels,-158.02464,21.50279,770980
solar system,sub-subtopic,Solar Panel,Energy efficiency meaasures,-158.02464,21.51429,633381
average capital,sub-subtopic,Solar Panel,Solar systems economics ,-158.01503,21.4504,379084
climatical shading,sub-subtopic,Solar Panel,Energy efficiency meaasures,-158.01331,21.46485,696893
Average Cost,sub-subtopic,Solar Panel,Sustainability analysis ,-158.00917,21.38667,54738
non-OECD countries,sub-subtopic,Solar Panel,Renewable Solutions Integration,-158.00722,21.31556,51447
exchange rate,sub-subtopic,Solar Panel,Solar Materials ,-157.99906,21.41823,267989
installation activities,sub-subtopic,Solar Panel,Sustainable technologies ,-157.98301,21.32776,514881
ICE database,sub-subtopic,Solar Panel,Solar urban sustainability ,-157.97516,21.39734,48199
balance calculated,sub-subtopic,Solar Panel,Solar systems economics ,-157.96018,21.33967,385033
EEA air,sub-subtopic,Solar Panel,Sustainable technologies ,-157.95237,21.68048,88924
reduction indicator,sub-subtopic,Solar Panel,Renewable energy integration,-157.94333,21.40472,276561
ORI derived,sub-subtopic,Solar Panel,Energy Risk indicators ,-157.93361,21.38222,249874
severity,sub-subtopic,Solar Panel,Energy Risk indicators ,-157.9225,21.64547,990088
measured,sub-subtopic,Solar Panel,Energy Risk indicators ,-157.92167,21.37944,751538
wet conditions,sub-subtopic,Solar Panel,Solar Energy Optimization,-157.91388,21.37848,849256
construction sites,sub-subtopic,Solar Panel,Energy Risk indicators ,-157.90868,21.6076,866257
Compatibility,sub-subtopic,Solar Panel,Solar energy impact,-157.87861,21.57389,539623
Change,sub-subtopic,Solar Panel,Energy efficiency meaasures,-157.87557,21.57045,92659
Iranian,sub-subtopic,Solar Panel,Solar Materials ,-157.85833,21.30694,540226
parameters,sub-subtopic,Solar Panel,Sustainable technologies ,-157.85103,21.55445,808089
functions,sub-subtopic,Solar Panel,Solar forecasting solutions ,-157.84431,21.45759,5574
graph depict,sub-subtopic,Solar Panel,Solar performance assessment,-157.83778,21.44472,832256
APV,sub-subtopic,Solar Panel,Renewable Solutions Integration,-157.81611,21.43054,385060
APV,sub-subtopic,Solar Panel,Solar energy efficiency ,-157.79895,21.39994,586951
important GHG,sub-subtopic,Solar Panel,Sustainability analysis ,-157.77056,21.37278,433462
reduction potential,sub-subtopic,Solar Panel,Renewable energy integration,-157.74981,21.44336,297674
indicators assessed,sub-subtopic,Solar Panel,Sustainability analysis ,-157.74054,21.40241,915127
economic benefits,sub-subtopic,Solar Panel,Energy efficiency meaasures,-157.7238,21.34614,20189
approaches,sub-subtopic,Solar Panel,Solar urban sustainability ,-157.71734,21.28906,227528
current study,sub-subtopic,Solar Panel,Solar energy impact,-157.70003,21.33407,531086
expected benefit,sub-subtopic,Solar Panel,Renewable Solutions Integration,-157.48773,2.01643,560658
private solar,sub-subtopic,Solar Panel,Solar systems economics ,-157.47502,1.98487,972270
organic solar,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-157.36526,1.98329,52156
solar cell,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-157.03677,21.15306,872597
model designed,sub-subtopic,Solar Panel,Sustainability analysis ,-157.02613,21.09363,470172
environmentally friendly,sub-subtopic,Solar Panel,Energy efficiency meaasures,-156.92399,20.82757,981808
APV,sub-subtopic,Solar Panel,Renewable Solutions Integration,-156.78872,71.29058,415859
APV,sub-subtopic,Solar Panel,Renewable Solutions Integration,-156.76139,21.10028,878305
crystalline silicon,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-156.69422,20.92881,216871
multidisciplinary experts,sub-subtopic,Solar Panel,Solar technology adoption ,-156.68778,20.9309,726590
types generally,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,-156.67826,20.97533,821068
common,sub-subtopic,Solar Panel,Solar energy impact,-156.67663,20.87429,808572
thinner films,sub-subtopic,Solar Panel,Graphene Silk Panels,-156.50694,20.85806,802851
c-Si cells,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-156.50604,20.89133,716326
Third-generation,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-156.50458,20.93022,371741
millennium technology,sub-subtopic,Solar Panel,Solar technology adoption ,-156.47432,20.88953,254487
organic solar,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-156.44578,20.76462,768892
outdoor usage,sub-subtopic,Solar Panel,Graphene Silk Panels,-156.4419,20.68973,496241
main challenges,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-156.36944,20.90333,409202
conventional flat,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-156.35446,20.70711,274213
systems,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-156.33667,20.83667,322368
unglazed,sub-subtopic,Solar Panel,Energy efficiency meaasures,-156.32695,20.79094,319980
current studies,sub-subtopic,Solar Panel,Solar energy impact,-156.31306,20.85694,568537
Mar.,sub-subtopic,Solar Panel,Solar energy impact,-156.30508,20.92187,270732
ICE database,sub-subtopic,Solar Panel,Solar urban sustainability ,-156.13639,20.84861,869177
Jul.,sub-subtopic,Solar Panel,Sustainability analysis ,-155.99912,19.64016,416475
Tehran Annual,sub-subtopic,Solar Panel,Sustainability analysis ,-155.99028,20.75806,957045
nomenclature,sub-subtopic,Solar Panel,Solar performance assessment,-155.98167,19.72861,533403
air pollution,sub-subtopic,Solar Panel,Solar energy efficiency ,-155.96172,19.57181,558358
Particulate Matter,sub-subtopic,Solar Panel,Sustainable technologies ,-155.94831,19.61979,632069
International Renewable,sub-subtopic,Solar Panel,Solar urban sustainability ,-155.93194,19.54639,793187
Solar Energy,sub-subtopic,Solar Panel,Renewable energy transition ,-155.9225,19.52083,929553
United Nations,sub-subtopic,Solar Panel,Solar urban sustainability ,-155.92167,19.49694,40450
solar heating,sub-subtopic,Solar Panel,Solar technology adoption ,-155.86466,19.45627,531618
main focus,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-155.83351,20.24122,836591
Power Plants,sub-subtopic,Solar Panel,Solar urban sustainability ,-155.80194,20.23389,569572
main findings,sub-subtopic,Solar Panel,Energy assessments,-155.78931,19.93942,664332
research article,sub-subtopic,Solar Panel,Energy assessments,-155.765,19.06861,998533
decision-support system,sub-subtopic,Solar Panel,Energy assessments,-155.67288,20.02323,459113
energy buildings,sub-subtopic,Solar Panel,Renewable energy transition ,-155.4786,19.20297,847941
IHS Market,sub-subtopic,Solar Panel,Sustainable technologies ,-155.46691,20.07931,238557
Energy Propaedia,sub-subtopic,Solar Panel,Energy assessments,-155.23398,19.44276,693124
main focus,sub-subtopic,Solar Panel,Energy assessments,-155.10806,19.55583,378103
multi-criteria decision-making,sub-subtopic,Solar Panel,Solar energy dynamics ,-155.10722,19.83361,987864
life cycle,sub-subtopic,Solar Panel,Energy assessments,-155.095,19.74472,777239
SWOT Analysis,sub-subtopic,Solar Panel,Sustainability analysis ,-155.09326,19.78718,973156
multi-criteria decision-making,sub-subtopic,Solar Panel,Solar technology adoption ,-155.09073,19.72991,950749
solar panels,sub-subtopic,Solar Panel,Renewable Solutions Integration,-155.08028,19.51222,657941
technologies form,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-155.05722,19.60361,145122
solar photovoltaic,sub-subtopic,Solar Panel,Energy efficiency meaasures,-155.05222,19.53806,546352
Lunar Probit,sub-subtopic,Solar Panel,Solar urban sustainability ,-155.03744,19.62265,41298
Iran,sub-subtopic,Solar Panel,Renewable Solutions Integration,-155.01527,19.56084,830153
topics discussed,sub-subtopic,Solar Panel,Solar urban sustainability ,-154.99306,19.52694,24252
Plantar article,sub-subtopic,Solar Panel,Energy assessments,-154.97306,19.59333,925896
distribution system,sub-subtopic,Solar Panel,Solar technology adoption ,-154.91778,19.46972,887236
building integrated,sub-subtopic,Solar Panel,Sustainable technologies ,-154.91583,19.54306,268227
Cycle Assessment,sub-subtopic,Solar Panel,Energy assessments,-154.91194,19.50611,737706
solar energy,sub-subtopic,Solar Panel,Solar systems economics ,-152.60004,57.76587,822189
energy source,sub-subtopic,Solar Panel,Energy efficiency meaasures,-152.40533,57.78852,242017
renewable energy,sub-subtopic,Solar Panel,Renewable energy transition ,-151.83139,59.77667,363270
world fossil,sub-subtopic,Solar Panel,Renewable Solutions Integration,-151.74913,-16.50741,704688
solar energy-based,sub-subtopic,Solar Panel,Solar technology adoption ,-151.74102,-16.48679,350042
SWH system,sub-subtopic,Solar Panel,Thermal efficiency,-151.72135,-16.50148,167191
thermal characteristics,sub-subtopic,Solar Panel,Solar Materials ,-151.5575,59.67611,924646
desalination processes,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-151.5494,59.6425,902401
SWH systems,sub-subtopic,Solar Panel,Renewable Solutions Integration,-151.48893,-16.79139,7117
SWH systems,sub-subtopic,Solar Panel,Solar systems economics ,-151.44482,-16.72891,846677
fossil fuel,sub-subtopic,Solar Panel,Solar systems economics ,-151.34191,-22.45133,891933
energy catchment,sub-subtopic,Solar Panel,Solar systems economics ,-151.30639,60.36861,538736
solar-collector,sub-subtopic,Solar Panel,Solar performance assessment,-151.29528,59.73611,973709
thermal performance,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-151.29,60.41833,539702
absorber plate,sub-subtopic,Solar Panel,Renewable energy Integration,-151.28889,60.69028,538800
glass cover,sub-subtopic,Solar Panel,Solar Materials ,-151.25833,60.55444,435518
FPC,sub-subtopic,Solar Panel,Solar Materials ,-151.08528,60.53194,90237
recently focused,sub-subtopic,Solar Panel,Graphene Silk Panels,-151.05833,60.48778,457044
classic FPC,sub-subtopic,Solar Panel,Solar Materials ,-151.03455,-16.71085,777531
classic FPC,sub-subtopic,Solar Panel,Renewable energy Integration,-151.0327,-16.73535,981777
Instantaneous gas,sub-subtopic,Solar Panel,Solar systems economics ,-150.76472,60.53722,929384
components make,sub-subtopic,Solar Panel,Renewable energy Integration,-150.0375,61.74722,362547
designs introduced,sub-subtopic,Solar Panel,Graphene Silk Panels,-149.95444,61.52139,332098
desalting saline,sub-subtopic,Solar Panel,Energy efficiency meaasures,-149.90028,61.21806,155202
shape,sub-subtopic,Solar Panel,Thermal efficiency,-149.87437,-17.49538,102448
thermal conductivity,sub-subtopic,Solar Panel,Solar Materials ,-149.86905,-17.56352,71728
maximum working,sub-subtopic,Solar Panel,Solar energy efficiency ,-149.85075,62.16129,714429
CPC,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-149.82193,-17.51863,421520
improve PCs,sub-subtopic,Solar Panel,Graphene Silk Panels,-149.81806,61.63028,831688
non-optical concentrators,sub-subtopic,Solar Panel,Sustainability analysis ,-149.78333,-17.55,602375
highest temperature,sub-subtopic,Solar Panel,Solar energy efficiency ,-149.76667,-17.5,748690
Heat Storage,sub-subtopic,Solar Panel,Solar systems economics ,-149.63139,61.25703,768722
state heat,sub-subtopic,Solar Panel,Thermal efficiency,-149.60352,-17.55933,559217
heat storage,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-149.60111,61.62472,914198
storage tanks,sub-subtopic,Solar Panel,Renewable energy Integration,-149.60012,61.51262,888191
SWH system,sub-subtopic,Solar Panel,Solar systems economics ,-149.6,-17.63333,695743
thermal distribution,sub-subtopic,Solar Panel,Thermal efficiency,-149.58333,-17.68333,289091
highest temperatures,sub-subtopic,Solar Panel,Solar panel perception,-149.56843,-17.5347,767171
absorber plate,sub-subtopic,Solar Panel,Renewable energy Integration,-149.56778,61.32139,979465
assisted concentrator,sub-subtopic,Solar Panel,Solar Materials ,-149.55119,-17.52985,873598
thermal collector,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-149.55,-17.75,294816
maximum outlet,sub-subtopic,Solar Panel,Thermal efficiency,-149.53437,-17.52764,657943
heat exchanger,sub-subtopic,Solar Panel,Solar Materials ,-149.48899,-17.50648,697029
transfer fluid,sub-subtopic,Solar Panel,Thermal efficiency,-149.4435,60.10426,983545
aluminium absorber,sub-subtopic,Solar Panel,Solar energy efficiency ,-149.4415,61.5809,518519
air conditioners,sub-subtopic,Solar Panel,Thermal efficiency,-149.42806,61.62694,70634
performance obtained,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-149.41341,-17.77207,614163
evacuated tubular,sub-subtopic,Solar Panel,Solar performance assessment,-149.395,60.16417,180951
coating layer,sub-subtopic,Solar Panel,Solar Materials ,-149.35602,-17.75139,152161
absorber plate,sub-subtopic,Solar Panel,Graphene Silk Panels,-149.33333,-17.53333,383027
typically,sub-subtopic,Solar Panel,Solar Materials ,-149.32444,-17.74395,962990
galvanized absorber,sub-subtopic,Solar Panel,Renewable energy Integration,-149.31676,-17.76099,157802
utilizing specific,sub-subtopic,Solar Panel,Thermal efficiency,-149.30919,-17.66917,371669
dark paint,sub-subtopic,Solar Panel,Solar Energy Optimization,-149.30861,61.60713,601578
collector,sub-subtopic,Solar Panel,Solar Materials ,-149.3,-17.6,904713
flaps,sub-subtopic,Solar Panel,Solar Energy Optimization,-149.28333,-17.78333,22408
higher effectiveness,sub-subtopic,Solar Panel,Solar Materials ,-149.26682,-17.84645,776253
nanofluids,sub-subtopic,Solar Panel,Solar Materials ,-149.24083,61.57278,471924
weight fraction,sub-subtopic,Solar Panel,Solar Materials ,-149.23613,61.74402,190731
nanomaterials' concentration,sub-subtopic,Solar Panel,Solar Materials ,-149.22376,-17.73831,479779
mass flow,sub-subtopic,Solar Panel,Thermal efficiency,-149.16639,60.9425,587564
nanomaterials loading,sub-subtopic,Solar Panel,Thermal efficiency,-149.16123,-17.74744,206138
elevated flux,sub-subtopic,Solar Panel,Solar Materials ,-149.14215,61.63891,773777
increased efficiency,sub-subtopic,Solar Panel,Thermal efficiency,-149.11456,61.59941,348282
CUO nanofluids,sub-subtopic,Solar Panel,Solar Materials ,-149.03333,61.54222,366416
MWCNT nanofluid,sub-subtopic,Solar Panel,Solar Materials ,-148.96611,63.85694,876682
GNP nanofluids,sub-subtopic,Solar Panel,Thermal efficiency,-148.94556,61.62611,154044
proposed CPC,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-148.7645,61.77789,497849
proposed CPC,sub-subtopic,Solar Panel,Sustainability analysis ,-148.33722,70.25528,831651
absorbent bed,sub-subtopic,Solar Panel,Sustainability analysis ,-148.01444,64.84722,476331
type,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,-147.80278,64.85694,622510
disperse,sub-subtopic,Solar Panel,Thermal efficiency,-147.71639,64.83778,209150
MWCNT nanofluid,sub-subtopic,Solar Panel,Solar Materials ,-147.69866,64.90822,276049
absorption ability,sub-subtopic,Solar Panel,Solar Materials ,-147.53333,64.8,456419
based nanofluid,sub-subtopic,Solar Panel,Solar energy dynamics ,-147.34944,64.75111,538374
MWCNT,sub-subtopic,Solar Panel,Thermal efficiency,-147.05442,64.66327,892375
Sic nanoparticles,sub-subtopic,Solar Panel,Solar Materials ,-146.9021,64.52399,976497
volume concentration,sub-subtopic,Solar Panel,Solar Materials ,-146.34833,61.13083,482897
Table,sub-subtopic,Solar Panel,Solar systems economics ,-145.75867,60.5432,566545
experiment,sub-subtopic,Solar Panel,Solar Materials ,-145.21773,63.87217,685206
thermal performance,sub-subtopic,Solar Panel,Thermal efficiency,-142.98556,63.33667,290206
GNP nanofluid,sub-subtopic,Solar Panel,Thermal efficiency,-140.09972,-8.91093,580062
water,sub-subtopic,Solar Panel,Thermal efficiency,-139.43328,64.06013,33682
water-EG nanofluid-based,sub-subtopic,Solar Panel,Solar energy efficiency ,-139.04202,-9.80342,497738
SWH systems,sub-subtopic,Solar Panel,Renewable energy transition ,-136.46328,-18.46647,989837
highest thermal,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-135.44533,59.23595,445277
operating temperature,sub-subtopic,Solar Panel,Solar energy efficiency ,-135.33088,57.05315,569975
SWH system,sub-subtopic,Solar Panel,Solar energy efficiency ,-135.05375,60.71611,735509
FPC,sub-subtopic,Solar Panel,Solar Materials ,-134.96858,-23.12322,877332
SWH systems,sub-subtopic,Solar Panel,Solar systems economics ,-134.41972,58.30194,134319
authors give,sub-subtopic,Solar Panel,Solar innovation solutions ,-133.72817,68.36166,660704
reference,sub-subtopic,Solar Panel,Energy assessments,-133.14833,55.47639,540114
recent advances,sub-subtopic,Solar Panel,Solar Materials ,-132.95556,56.8125,642184
main focus,sub-subtopic,Solar Panel,Solar systems economics ,-132.37667,56.47083,939874
solar water,sub-subtopic,Solar Panel,Solar energy efficiency ,-131.64757,55.3418,470720
Liu,sub-subtopic,Solar Panel,Sustainable technologies ,-131.57698,55.12905,816790
combined cooling,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-130.32098,54.31507,455147
Heat transfer,sub-subtopic,Solar Panel,Renewable energy Integration,-130.10147,-25.06597,598071
Narayanan,sub-subtopic,Solar Panel,Sustainable technologies ,-128.70893,60.06349,958177
main topic,sub-subtopic,Solar Panel,Sustainable technologies ,-128.65342,54.05244,53221
Renewable Energy,sub-subtopic,Solar Panel,Energy assessments,-128.60345,54.51634,141310
Sustainable Energy,sub-subtopic,Solar Panel,Energy assessments,-127.17428,54.78036,282382
pressure drop,sub-subtopic,Solar Panel,Solar Materials ,-127.08638,50.59,897469
copper oxide,sub-subtopic,Solar Panel,Solar Materials ,-126.8329,65.28201,361550
subject ofMicrochem,sub-subtopic,Solar Panel,Sustainable technologies ,-126.67008,54.39976,261054
performance enhancement,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-125.90744,49.15314,131636
efficient encapsulation,sub-subtopic,Solar Panel,Sustainable technologies ,-125.76084,54.22972,376766
aqueous media,sub-subtopic,Solar Panel,Sustainable technologies ,-125.54635,48.94153,941391
aqueous solutions,sub-subtopic,Solar Panel,Sustainable technologies ,-125.24459,50.01634,827839
main focus,sub-subtopic,Solar Panel,Sustainable technologies ,-125.03613,49.61634,659476
aim,sub-subtopic,Solar Panel,Sustainable technologies ,-125.02907,49.67322,618370
