text,type,topic,subtopic,longitude,latitude,relevance
Solar Radiation,sub-subtopic,Solar Panel,Thermal Efficiency,0.9080679890737196,0.6162424821067873,25
Nearby Walls,sub-subtopic,Solar Panel,Thermal Efficiency,0.8793877966296263,0.6974831153072216,41
Land Area,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.36624978537728,-8.648143914632255,46
Average Daily,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.36292657881976,-8.568551970044213,45
Critical Aspects,sub-subtopic,Solar Panel,Renewable Solutions Integration,15.145154517696799,-11.328125507693422,47
Sunny Days,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.327834439731085,-8.71093776274908,10
Main Provider,sub-subtopic,Solar Panel,Renewable Solutions Integration,15.142313245149998,-11.391109665782388,48
Average Solar,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.339668817976595,-8.671981991124277,44
Plan Frameworks,sub-subtopic,Solar Panel,Renewable Solutions Integration,15.329510505515685,-11.76492725219098,48
Support Policies,sub-subtopic,Solar Panel,Renewable Solutions Integration,14.881849919016775,-11.582802580586822,2
Main Reason,sub-subtopic,Solar Panel,Solar Technology Adoption,66.07245890767213,12.528549835893058,42
Grid-Connected Solar,sub-subtopic,Solar Panel,Renewable Energy Transition,-17.060717688954053,-9.936043322030534,38
Paragraph Focus,sub-subtopic,Solar Panel,Solar Energy Impact,-3.184658568422645,1.7748942371773548,22
M-Si,sub-subtopic,Solar Panel,Solar Energy Impact,-2.746620162300631,1.89371010423455,37
Research Project,sub-subtopic,Solar Panel,Solar Systems Economics,16.055685953987375,7.925688683103916,18
Flat Plate,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.06743903603795,-0.3472403772069455,4
Expected Lifetime,sub-subtopic,Solar Panel,Solar Systems Economics,15.984808805957611,7.936095005617453,5
Silicon Crystalline,sub-subtopic,Solar Panel,Solar Materials,-2.533900715125328,-8.012277412390784,45
Subscribers Allocated,sub-subtopic,Solar Panel,Renewable Energy Insights,-15.748143180890322,-1.92755877371543,2
Achieve Optimum,sub-subtopic,Solar Panel,Solar Performance Assessment,15.642463828927417,30.64927302229668,35
Current Project,sub-subtopic,Solar Panel,Solar Systems Economics,15.951267738520935,7.983373960743095,26
Studied,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,0.9070252534694909,8.165183596749083,49
Irradiance Abundance,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.383080652348966,-8.643962564341212,8
Potential Benefits,sub-subtopic,Solar Panel,Energy Efficiency Meaasures,-28.69755650666817,-35.635585549029905,14
Swot Matrix,sub-subtopic,Solar Panel,Solar Technology Adoption,66.05225493840513,12.574571300426072,11
Macro Climatic,sub-subtopic,Solar Panel,Energy Efficiency Meaasures,-28.927427799799723,-35.88555227885083,38
Investment Profitability,sub-subtopic,Solar Panel,Solar Performance Assessment,15.822694694546438,30.666330329592995,9
Implementation Cost,sub-subtopic,Solar Panel,Energy Risk Indicators,8.831781135385201,15.332015594835891,22
Implementation Cost,sub-subtopic,Solar Panel,Graphene Silk Panels,-26.53648436737974,54.97094231775868,48
Solar System,sub-subtopic,Solar Panel,Energy Efficiency Meaasures,-28.896234664382366,-35.902745164491215,41
Average Capital,sub-subtopic,Solar Panel,Solar Systems Economics,16.09181646476208,7.928489853215105,14
Climatical Shading,sub-subtopic,Solar Panel,Energy Efficiency Meaasures,-29.028540906912387,-35.66277551202952,41
Average Cost,sub-subtopic,Solar Panel,Sustainability Analysis,5.429166356444738,-56.829113588109145,32
Non-Oecd Countries,sub-subtopic,Solar Panel,Renewable Solutions Integration,14.975421872136403,-11.693720771000455,45
Exchange Rate,sub-subtopic,Solar Panel,Solar Materials,-2.273228977446746,-8.218378801838151,12
Installation Activities,sub-subtopic,Solar Panel,Sustainable Technologies,2.480766884575291,22.14661865814165,4
Ice Database,sub-subtopic,Solar Panel,Solar Urban Sustainability,13.931694500788893,1.8319975278126615,37
Balance Calculated,sub-subtopic,Solar Panel,Solar Systems Economics,16.057310792718123,7.937753735487312,17
Eea Air,sub-subtopic,Solar Panel,Sustainable Technologies,2.5312972421334905,22.157193662774134,4
Reduction Indicator,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.40142783394982,-8.557968049603073,37
Ori Derived,sub-subtopic,Solar Panel,Energy Risk Indicators,8.871020521672287,15.221943528096576,12
Severity,sub-subtopic,Solar Panel,Energy Risk Indicators,8.925402138463866,15.523672912013598,50
Measured,sub-subtopic,Solar Panel,Energy Risk Indicators,8.860619674856936,15.223862650404296,41
Wet Conditions,sub-subtopic,Solar Panel,Solar Energy Optimization,-29.615602502457552,29.457291590054602,23
Construction Sites,sub-subtopic,Solar Panel,Energy Risk Indicators,8.90010292535954,15.234786180976462,49
Compatibility,sub-subtopic,Solar Panel,Solar Energy Impact,-2.9330636882545176,1.896399499694809,44
Change,sub-subtopic,Solar Panel,Energy Efficiency Meaasures,-28.427370367069972,-35.78813461699673,43
Iranian,sub-subtopic,Solar Panel,Solar Materials,-2.277427745824166,-8.281968012823098,12
Parameters,sub-subtopic,Solar Panel,Sustainable Technologies,2.4755044897220952,22.111512947391255,49
Functions,sub-subtopic,Solar Panel,Solar Forecasting Solutions,-17.828587290654973,-3.9091273341946495,35
Graph Depict,sub-subtopic,Solar Panel,Solar Performance Assessment,15.789580725613732,30.594386738882317,5
Apv,sub-subtopic,Solar Panel,Solar Energy Efficiency,-2.79018447253182,-0.5112455876075287,20
Important Ghg,sub-subtopic,Solar Panel,Sustainability Analysis,5.553013429048344,-56.84495032391312,14
Reduction Potential,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.34168890192201,-8.67634873260295,50
Indicators Assessed,sub-subtopic,Solar Panel,Sustainability Analysis,5.38216356089889,-56.88890290038063,32
Economic Benefits,sub-subtopic,Solar Panel,Energy Efficiency Meaasures,-28.59091189255868,-35.535349097142564,20
Approaches,sub-subtopic,Solar Panel,Solar Urban Sustainability,13.647867307984384,2.0307937917572696,46
Current Study,sub-subtopic,Solar Panel,Solar Energy Impact,-3.203289741715656,1.8349957368177714,23
Expected Benefit,sub-subtopic,Solar Panel,Renewable Solutions Integration,14.919746118395066,-11.503161015610614,38
Private Solar,sub-subtopic,Solar Panel,Solar Systems Economics,15.972393848535805,7.951848903305991,2
Organic Solar,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.17404903145462,-0.5265532075747892,41
Solar Cell,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.00095223499122,-0.43386604483879654,34
Model Designed,sub-subtopic,Solar Panel,Sustainability Analysis,5.480375842332422,-56.852000549765904,6
Environmentally Friendly,sub-subtopic,Solar Panel,Energy Efficiency Meaasures,-28.85957498984495,-35.52418713869515,32
Apv,sub-subtopic,Solar Panel,Renewable Solutions Integration,14.899760015373888,-11.59238666765477,3
Crystalline Silicon,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-65.9696081934444,-0.5226603454616239,21
Multidisciplinary Experts,sub-subtopic,Solar Panel,Solar Technology Adoption,66.11350272174198,12.512433244778189,19
Types Generally,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,1.436637490663571,7.647496235260751,34
Common,sub-subtopic,Solar Panel,Solar Energy Impact,-3.0546145697285767,1.7955640284016718,1
Thinner Films,sub-subtopic,Solar Panel,Graphene Silk Panels,-26.72244336647974,55.25784658712981,1
C-Si Cells,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.23115612664803,-0.4557458309008707,36
Third-Generation,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-65.98709656541011,-0.42051135930960315,17
Millennium Technology,sub-subtopic,Solar Panel,Solar Technology Adoption,66.26992159668289,12.705669965453485,39
Organic Solar,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.12794830038959,-0.15186225137536483,27
Outdoor Usage,sub-subtopic,Solar Panel,Graphene Silk Panels,-26.823724358275157,55.235062095124285,14
Main Challenges,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.06554296265986,-0.35600739525276454,34
Conventional Flat,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.06535187326027,-0.3159497208000449,10
Systems,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-65.83099283261328,-0.5453100741349717,38
Unglazed,sub-subtopic,Solar Panel,Energy Efficiency Meaasures,-28.657131797237994,-35.563280100148994,22
Current Studies,sub-subtopic,Solar Panel,Solar Energy Impact,-3.1617115639717297,1.614761524213075,26
Ice Database,sub-subtopic,Solar Panel,Solar Urban Sustainability,14.050838977069068,1.6492877021017138,43
Tehran Annual,sub-subtopic,Solar Panel,Sustainability Analysis,5.543910196175241,-56.82409837303811,32
Nomenclature,sub-subtopic,Solar Panel,Solar Performance Assessment,15.826868633815092,30.563760843909087,31
Air Pollution,sub-subtopic,Solar Panel,Solar Energy Efficiency,-2.635533628123581,-0.6628216078387897,28
Particulate Matter,sub-subtopic,Solar Panel,Sustainable Technologies,2.494039378148994,22.201511402835084,14
International Renewable,sub-subtopic,Solar Panel,Solar Urban Sustainability,13.948505135775898,1.798495118734459,8
Solar Energy,sub-subtopic,Solar Panel,Renewable Energy Transition,-17.196415516211268,-10.006642745886731,43
United Nations,sub-subtopic,Solar Panel,Solar Urban Sustainability,13.912689606762754,1.5345738221604865,37
Solar Heating,sub-subtopic,Solar Panel,Solar Technology Adoption,66.10550753383245,12.527488545133806,29
Main Focus,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.10232817671896,-0.2667759626343952,22
Power Plants,sub-subtopic,Solar Panel,Solar Urban Sustainability,13.793613562454963,1.6425771828451925,40
Main Findings,sub-subtopic,Solar Panel,Energy Assessments,-55.443328926442504,46.0318522590866,39
Research Article,sub-subtopic,Solar Panel,Energy Assessments,-55.624363702736076,45.925237777663696,7
Decision-Support System,sub-subtopic,Solar Panel,Energy Assessments,-55.60083807937161,45.97409302958522,23
Energy Buildings,sub-subtopic,Solar Panel,Renewable Energy Transition,-17.153677119907865,-9.803155571626387,12
Ihs Market,sub-subtopic,Solar Panel,Sustainable Technologies,2.5135802011097326,22.160205176392225,3
Energy Propaedia,sub-subtopic,Solar Panel,Energy Assessments,-55.93507691630821,45.8561660597952,38
Main Focus,sub-subtopic,Solar Panel,Energy Assessments,-55.855938986624814,45.86769326299384,27
Multi-Criteria Decision-Making,sub-subtopic,Solar Panel,Solar Energy Dynamics,-35.14202878435205,32.22939437545116,10
Life Cycle,sub-subtopic,Solar Panel,Energy Assessments,-55.51356361322329,45.93538379433038,27
Swot Analysis,sub-subtopic,Solar Panel,Sustainability Analysis,5.4296871966879685,-56.82647759248285,10
Multi-Criteria Decision-Making,sub-subtopic,Solar Panel,Solar Technology Adoption,66.05385871748814,12.522156369265568,6
Solar Panels,sub-subtopic,Solar Panel,Renewable Solutions Integration,14.791917413319387,-11.676807247449752,34
Technologies Form,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.04330548814217,-0.38321742816557103,33
Solar Photovoltaic,sub-subtopic,Solar Panel,Energy Efficiency Meaasures,-28.810307762480583,-35.61938543382959,14
Lunar Probit,sub-subtopic,Solar Panel,Solar Urban Sustainability,14.010158725171816,1.7423003283956704,46
Iran,sub-subtopic,Solar Panel,Renewable Solutions Integration,15.086860270665767,-11.907813283321351,41
Topics Discussed,sub-subtopic,Solar Panel,Solar Urban Sustainability,13.87273071667496,1.7802063651894386,16
Plantar Article,sub-subtopic,Solar Panel,Energy Assessments,-55.65309316560992,45.9524832979275,32
Distribution System,sub-subtopic,Solar Panel,Solar Technology Adoption,66.17541208191275,12.491593628433371,41
Building Integrated,sub-subtopic,Solar Panel,Sustainable Technologies,2.436859361682263,22.21158343502806,19
Cycle Assessment,sub-subtopic,Solar Panel,Energy Assessments,-55.900112638093134,45.888527214307686,45
Solar Energy,sub-subtopic,Solar Panel,Solar Systems Economics,15.992464964594769,7.95694966722236,15
Energy Source,sub-subtopic,Solar Panel,Energy Efficiency Meaasures,-28.67659847241073,-35.61765431040384,3
Renewable Energy,sub-subtopic,Solar Panel,Renewable Energy Transition,-17.192697946550574,-10.132386445944938,48
World Fossil,sub-subtopic,Solar Panel,Renewable Solutions Integration,14.755624733238037,-11.518218507120134,43
Solar Energy-Based,sub-subtopic,Solar Panel,Solar Technology Adoption,65.95071345453314,12.373012590274804,40
Swh System,sub-subtopic,Solar Panel,Thermal Efficiency,0.858984508080042,0.6146466999564135,11
Thermal Characteristics,sub-subtopic,Solar Panel,Solar Materials,-2.4428168818667966,-8.275549423173636,36
Desalination Processes,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.08633850282696,-0.3634668613842409,21
Swh Systems,sub-subtopic,Solar Panel,Renewable Solutions Integration,15.093903497823796,-11.349138788619673,50
Swh Systems,sub-subtopic,Solar Panel,Solar Systems Economics,16.3330826412674,7.893224479349014,43
Fossil Fuel,sub-subtopic,Solar Panel,Solar Systems Economics,15.970817517406905,7.9480499564322935,6
Energy Catchment,sub-subtopic,Solar Panel,Solar Systems Economics,15.92347914430361,7.849808859888528,42
Solar-Collector,sub-subtopic,Solar Panel,Solar Performance Assessment,15.882201781562348,30.60409908655106,8
Thermal Performance,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.11338397842356,-0.5594984934415481,29
Absorber Plate,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.37443591771197,-8.943929042695357,47
Glass Cover,sub-subtopic,Solar Panel,Solar Materials,-2.1362910462133247,-8.137849925578998,28
Fpc,sub-subtopic,Solar Panel,Solar Materials,-2.3400948919206104,-8.315595201722513,17
Recently Focused,sub-subtopic,Solar Panel,Graphene Silk Panels,-26.427711801501207,55.504283154434916,41
Classic Fpc,sub-subtopic,Solar Panel,Solar Materials,-2.250995693067451,-8.294585371311765,13
Classic Fpc,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.3051115233148,-8.728479719518687,17
Instantaneous Gas,sub-subtopic,Solar Panel,Solar Systems Economics,15.936763899841798,8.129399307723936,29
Components Make,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.386356029854994,-8.641708188464449,5
Designs Introduced,sub-subtopic,Solar Panel,Graphene Silk Panels,-26.662405933778025,55.09424558138566,24
Desalting Saline,sub-subtopic,Solar Panel,Energy Efficiency Meaasures,-28.62880745184026,-35.280448035414494,47
Shape,sub-subtopic,Solar Panel,Thermal Efficiency,0.7065739958427897,1.0261923306594016,48
Thermal Conductivity,sub-subtopic,Solar Panel,Solar Materials,-2.301575809582679,-8.284810220665843,4
Maximum Working,sub-subtopic,Solar Panel,Solar Energy Efficiency,-2.6568860671970356,-0.3292982702551206,46
Cpc,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.0573434979083,-0.3370951161785985,14
Improve Pcs,sub-subtopic,Solar Panel,Graphene Silk Panels,-26.97884614218146,55.218604755246595,27
Non-Optical Concentrators,sub-subtopic,Solar Panel,Sustainability Analysis,5.565832639966854,-56.8141039216159,32
Highest Temperature,sub-subtopic,Solar Panel,Solar Energy Efficiency,-2.7396896775085104,-0.4327407989165388,8
Heat Storage,sub-subtopic,Solar Panel,Solar Systems Economics,15.978676155570197,7.77264869068702,19
State Heat,sub-subtopic,Solar Panel,Thermal Efficiency,0.7007219661628986,0.8127962420622897,30
Heat Storage,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.24897776519296,-0.14824093533209529,34
Storage Tanks,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.358381872329595,-8.65897688395308,2
Swh System,sub-subtopic,Solar Panel,Solar Systems Economics,15.895221947803336,8.023801131710915,35
Thermal Distribution,sub-subtopic,Solar Panel,Thermal Efficiency,1.1424689029841366,0.5814515867758702,45
Highest Temperatures,sub-subtopic,Solar Panel,Solar Panel Perception,5.944946706016951,-13.991261318627634,6
Absorber Plate,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.50479960003922,-8.6163436847164,19
Assisted Concentrator,sub-subtopic,Solar Panel,Solar Materials,-2.306683221106598,-8.297745552545077,9
Thermal Collector,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.13040332556096,-0.28851282120765054,35
Maximum Outlet,sub-subtopic,Solar Panel,Thermal Efficiency,0.8951739121842767,0.4082034198665614,46
Heat Exchanger,sub-subtopic,Solar Panel,Solar Materials,-2.1829982171517135,-8.180190519013673,34
Transfer Fluid,sub-subtopic,Solar Panel,Thermal Efficiency,0.989880308449397,0.7018677525090686,18
Aluminium Absorber,sub-subtopic,Solar Panel,Solar Energy Efficiency,-2.516719434074842,-0.6361382308446248,42
Air Conditioners,sub-subtopic,Solar Panel,Thermal Efficiency,0.9513478738237124,0.6285131805764826,32
Performance Obtained,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-66.15280949194052,-0.37111548768175096,32
Evacuated Tubular,sub-subtopic,Solar Panel,Solar Performance Assessment,15.820525846475748,30.593615134605702,2
Coating Layer,sub-subtopic,Solar Panel,Solar Materials,-2.273415992657034,-8.372548321117286,16
Absorber Plate,sub-subtopic,Solar Panel,Graphene Silk Panels,-26.55564367520198,54.87076906317878,47
Typically,sub-subtopic,Solar Panel,Solar Materials,-2.2388949127576647,-8.160767388254039,26
Galvanized Absorber,sub-subtopic,Solar Panel,Renewable Energy Integration,-54.35142606492542,-8.63476128320438,4
Utilizing Specific,sub-subtopic,Solar Panel,Thermal Efficiency,1.092018541837273,0.8833807111123126,31
Dark Paint,sub-subtopic,Solar Panel,Solar Energy Optimization,-29.412967721194796,29.415961533418397,26
Collector,sub-subtopic,Solar Panel,Solar Materials,-2.2938500918502216,-8.267250535289252,13
Flaps,sub-subtopic,Solar Panel,Solar Energy Optimization,-29.5658088315472,29.44396651595238,1
Higher Effectiveness,sub-subtopic,Solar Panel,Solar Materials,-2.246328589724972,-8.169650303481424,49
Nanofluids,sub-subtopic,Solar Panel,Solar Materials,-2.347353038512329,-8.301652889429432,18
Weight Fraction,sub-subtopic,Solar Panel,Solar Materials,-2.3808641397415333,-8.349660443968107,38
Nanomaterials' Concentration,sub-subtopic,Solar Panel,Solar Materials,-2.4013809059657762,-8.234784598821904,17
Mass Flow,sub-subtopic,Solar Panel,Thermal Efficiency,0.9065839088034844,0.6758406938968725,1
Nanomaterials Loading,sub-subtopic,Solar Panel,Thermal Efficiency,0.8339914932061744,0.8427420345848567,24
Elevated Flux,sub-subtopic,Solar Panel,Solar Materials,-2.0866583838413995,-8.25896803145894,25
Increased Efficiency,sub-subtopic,Solar Panel,Thermal Efficiency,0.8845221847067154,0.8206349739130667,35
Cuo Nanofluids,sub-subtopic,Solar Panel,Solar Materials,-2.213981266937941,-8.19576307831148,30
Mwcnt Nanofluid,sub-subtopic,Solar Panel,Solar Materials,-2.2997533481285557,-8.260120784370054,3
Gnp Nanofluids,sub-subtopic,Solar Panel,Thermal Efficiency,0.9368512842553709,0.563614255561489,16
Proposed Cpc,sub-subtopic,Solar Panel,Solar Hybrid Technologies,-65.95857187677908,-0.3308538914199577,35
Proposed Cpc,sub-subtopic,Solar Panel,Sustainability Analysis,5.483180914466865,-56.932715708764206,19
Absorbent Bed,sub-subtopic,Solar Panel,Sustainability Analysis,5.376524080518314,-56.84536240223503,35
