Question,Answer,Keywords,Cluster,subtopic,topic ,Macro-topic
What is the minimum efficiency of Silicon crystalline PV modules according to Iranian requirements and policies?,The minimum efficiency of Silicon crystalline PV modules is expected to be 16 % according to Iranian requirements and policies.,"Silicon, Iranian, policies, minimum, efficiency, crystalline, requirements, modules, expected, ",1,Silicon crystalline,Solar Materials ,Solar energy
What is the maximum allowed capacity for the subscribers allocated generators?,The maximum allowed capacity for the subscribers allocated generators is up to twice their connection capacity aâ€œ and will be a maximum of 100 kW.,"maximum, capacity, allowed, subscribers, generators, connection, ",11,subscribers allocated,Renewable energy insights,Solar energy
How can a PV array be mounted to achieve optimum performance throughout the year?,A PV array should be mounted at nearly the location latitude angle towards the south to achieve optimum performance throughout the year.,"year, achieve, optimum, performance, array, mounted, location, latitude, angle, south, ",25,achieve optimum,Solar performance assessment,Solar energy
What type of PV system is being employed in this current project?,"The PV system employed in the current project is a APV/BAP VT, on-grid, flat plate system composed of m-Si PV panels, water-based and uncovered PV/T.","system, employed, current, project, type, APV, BAP, on-grid, flat, panels, ",15,current project,Solar systems economics ,Solar energy
What other components are included in the studied PV array?,"The studied PV array includes a 5-kWp domestic power plant, copper absorbing plate, copper fluid flow pipes, polyurethane insulation, and 1 mm galvanized iron back end cover.","studied, array, copper, components, included, domestic, plant, pipes, polyurethane, insulation, ",22,studied,Photovoltaic Forecasting Techniques,Solar energy
What is the solar irradiance abundance in Tehran?,"Solar irradiance abundance in Tehran is due to the climatic condition (Firouzjah, Oct. 2,018; Khosravi et al., Feb. 2,018).","Tehran, Firouzjah, Oct., Feb., irradiance, abundance, solar, Khosravi, condition, due, ",21,irradiance abundance,Renewable energy integration,Solar energy
What are the potential benefits of the fast and upward technological advancement to improve efficiency and reduce the cost of modules?,These advancements can help reduce the cost of modules and increase efficiency in order to achieve better performance.,"cost, reduce, modules, efficiency, potential, benefits, fast, upward, technological, improve, ",29,potential benefits,Energy efficiency meaasures,Solar energy
What is the SWOT matrix that analyses the feasibility of APV and APV/T for residential buildings in Tehran?,The SWOT matrix that analyses the feasibility of APV and APV/T for residential buildings in Tehran are based on a simplified literature review as well as expertsâ„¢ panel contributions.,"APV, SWOT, Tehran, matrix, analyses, feasibility, residential, buildings, experts, panel, ",14,SWOT matrix,Solar technology adoption ,Solar energy
What role can solar systems have in micro/macro climatic changes?,"Solar systems can have different roles in micro/macro climatic changes, affected by different parameters such as energy conversion, making shadow space on the Ceil, decreasing domestic fossil fuels combustion, etc.","micro, climatic, solar, systems, Ceil, affected, conversion, making, decreasing, combustion, ",29,macro climatic,Energy efficiency meaasures,Solar energy
What performance indicator is used to evaluate the investment profitability over a time period?,"The performance indicator used to evaluate the investment profitability over a time period is the one maintained, which had been discarded in the previous GR study.","evaluate, investment, profitability, time, performance, indicator, period, maintained, study, discarded, ",25,investment profitability,Solar performance assessment,Solar energy
What are the three indicators included in the criterion Cost (C1)?,"I1) Implementation cost, (I2) Maintenance cost, and (I3) Return on Investment (ROI).","Cost, ROI, Implementation, Maintenance, Return, Investment, indicators, included, criterion, ",23,Implementation cost,Energy Risk indicators ,Solar energy
What does (I1) Implementation cost comprise?,"I1) Implementation cost includes panel pieces, electrical and mechanical accessories, and connections costs, as well as labour and skilled workersâ„¢ salaries.","Implementation, comprise, cost, salaries, pieces, electrical, accessories, workers, includes, panel, ",9,Implementation cost,Graphene Silk Panels,Solar energy
What are the maintenance costs estimated for the solar system?,"The maintenance cost has been estimated to encompass costs of expected activities such as cleaning of panels' surface, inspection, and accessories replacement for a 25-year life service.","maintenance, system, estimated, costs, solar, inspection, surface, life, encompass, expected, ",29,solar system,Energy efficiency meaasures,Solar energy
What is the average capital cost to mount each square metre of the solar system?,The average capital cost to mount each square metre of this solar system has been estimated.,"average, capital, cost, mount, square, metre, solar, system, estimated, ",15,average capital,Solar systems economics ,Solar energy
What is the role of climatical shading effect in PV panel installation?,"The climatical shading effect such as cloudy times should be considered when installing PV panels, as it affects the efficiency of the investment over the 25-year service time of the PV panels.","shading, panels, climatical, effect, installation, role, service, cloudy, considered, efficiency, ",29,climatical shading,Energy efficiency meaasures,Solar energy
What is Weighted Average Cost of Capital (WAC)?,"Weighted Average Cost of Capital (WAC) is a metric used to measure the cost of capital in mature renewable energy markets, which has improved and declined in the recent decade due to very low-risk premiums.","WAC, Cost, Average, Capital, Weighted, markets, premiums, metric, measure, renewable, ",3,Average Cost,Sustainability analysis ,Solar energy
"What is the WAC for non-OECD countries, except for China, for utility-scale renewable power generation technologies?","The WAC for non-OECD countries, except for China, for utility-scale renewable power generation technologies is 7.5%.","China, WAC, countries, non-OECD, utility-scale, renewable, power, generation, technologies, ",2,non-OECD countries,Renewable Solutions Integration,Solar energy
What is the exchange rate used to determine from Rials to Euros?,The exchange rate used to determine from Rials to Euros is the Iranian Central Bankâ„¢s official rate.,"Rials, Euros, rate, exchange, determine, Bank, Iranian, Central, official, ",1,exchange rate,Solar Materials ,Solar energy
What is the indicator that takes into account the hours for installation activities?,The indicator that takes into account the hours for installation activities is the Implementation Time (C2).,"indicator, account, hours, installation, activities, Time, Implementation, ",0,installation activities,Sustainable technologies ,Solar energy
What is an advantage of using the Inventory of Carbon and Energy (ICE) database?,"The ICE database provides favourable advantages compared to others and follows a cradle-to-gate (factory) scope known as module A1Ã¢â‚¬â€œA3 in the EU-wide standards, EN 15,804 and EN 15,978 on the construction field sustainability assessment.","Energy, Inventory, Carbon, ICE, database, factory, advantage, scope, module, standards, ",27,ICE database,Solar urban sustainability ,Solar energy
How is the CO2 balance calculated?,The CO2 balance is calculated by determining the difference between the amount of CO2 saved/reduced via renewable energy generation during the service time and the amount of CO2 emitted during the fabrication of PV/PVT panels.,"balance, calculated, amount, PVT, saved, reduced, emitted, panels, determining, difference, ",15,balance calculated,Solar systems economics ,Solar energy
"What emission factor does EEP/EEA air pollutant emission inventory guidebook 2,019 use?","EEP/EEA air pollutant emission inventory guidebook 2,019 use an emission factor of 0.9 g/GJ for public electricity production using natural gas, and 0.2 g/GJ for residential boilers burning natural gas.","EEA, emission, guidebook, air, pollutant, inventory, factor, gas, natural, public, ",0,EEA air,Sustainable technologies ,Solar energy
What is the PM reduction indicator intended to measure?,The PM reduction indicator is intended to measure the capacity of each square meter of solar panels to reduce ambient PM via energy production potential.,"reduction, indicator, intended, measure, potential, capacity, square, meter, solar, panels, ",21,reduction indicator,Renewable energy integration,Solar energy
What is ORI derived from?,"ORI is derived by Equation (8), where Orin is the ORI of risk, Pi is the occurrence probability, Ci is the consequence severity, and EI is the risk exposure.","ORI, derived, Equation, risk, probability, severity, exposure, occurrence, consequence, ",23,ORI derived,Energy Risk indicators ,Solar energy
"What is the product of frequency, severity, and exposure?","The product of frequency, severity, and exposure determines the cumulative risk.","severity, frequency, product, exposure, risk, determines, cumulative, ",23,severity,Energy Risk indicators ,Solar energy
How is frequency usually measured?,Frequency is usually measured in incident rates.,"measured, frequency, rates, incident, ",23,measured,Energy Risk indicators ,Solar energy
What are the most frequent injuries in electrical works especially under wet conditions?,Hand and back injuries due to hand contact with sharp parts and handling of loads such as solar panels and structural supports are the most frequent injuries in electrical works especially under wet conditions.,"conditions, injuries, frequent, electrical, works, wet, Hand, back, due, contact, ",16,wet conditions,Solar Energy Optimization,Solar energy
What is considered one of the most usual dangers as a general risk on construction sites?,Falling to a lower or the same level is considered one of the most usual dangers as a general risk on construction sites.,"sites, considered, usual, dangers, general, risk, construction, Falling, lower, level, ",23,construction sites,Energy Risk indicators ,Solar energy
What two indicators make up the Compatibility (C6) measure?,The two indicators that make up the Compatibility (C6) measure are Customization Potential (I11) and Adaptability to Change (I12).,"Compatibility, measure, indicators, make, Potential, Change, Customization, ",5,Compatibility,Solar energy impact,Solar energy
What parameters does Adaptability to Change (I12) take into consideration?,"Adaptability to Change (I12) takes into consideration parameters such as potential of disassembling, replacement, ability to move, and access to service.","Change, Adaptability, consideration, parameters, replacement, disassembling, move, service, potential, access, ",29,Change,Energy efficiency meaasures,Solar energy
What materials make up Iranian PV modules?,"Iranian PV modules consist of 76% glass, 10% polyethylene, 8% aluminium, 5% silicon, and less than 1% of other materials.","Iranian, modules, glass, polyethylene, aluminium, silicon, materials, make, consist, ",1,Iranian,Solar Materials ,Solar energy
What are the parameters associated with the VF of each indicator?,"The parameters associated with the VF of each indicator are Min, Max, C, K, and P.","parameters, indicator, Max, Min, ",0,parameters,Sustainable technologies ,Solar energy
What are the shapes of functions used in this study?,"The shapes of functions used in this study are six decreased, including three convex functions (DCC), one concave (CV), one linear (DL), and one S-shaped (DS); six increased, including four concave functions (Ice) and two S-shaped ones (IS).","functions, shapes, study, DCC, Ice, including, concave, decreased, linear, ",12,functions,Solar forecasting solutions ,Solar energy
How does each graph depict the value function?,"Each graph indicates the abscissa between the minimum and maximum satisfaction values for assessed alternatives, as well as the Farâ„¢s shape and relevant coefficient parameters (P, K, and C).","function, graph, depict, alternatives, parameters, abscissa, minimum, satisfaction, assessed, shape, ",25,graph depict,Solar performance assessment,Solar energy
